Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Варшавская,"Konix Орион, ж/б. 0,450.",Другие охмеленные (Ф),Россия ,2,840.0,344.0,1.4419,496.0,B,A,B,BAB
Варшавская,"Lapochka Cherry Cola, ж/б 0.33",Напитки б/а (Ф),Россия,1,290.0,112.0,1.5893,178.0,C,A,C,CAC
Варшавская,Lapochka Christmas ж/б 0.33,Напитки б/а (Ф),Россия,1,290.0,112.0,1.5893,178.0,C,A,C,CAC
Варшавская,Lapochka Pear+Ginger+CBD ж/б 0.33,Напитки б/а (Ф),Россия,2,580.0,248.0,1.3387,332.0,B,A,B,BAB
Варшавская,Midnight Project | Cyberpunk Shotgun | 500мл.,Дабл ИПА + (Ф),Россия,5,2928.91,1202.8,1.43506,1726.11,A,A,A,AAA
Варшавская,"PP Gose 0.5, бан",Другие охмеленные (Ф),Россия,2,900.0,413.22,1.178,486.78,B,A,B,BAB
Варшавская,Sabotage | Электродог | 500мл.,ИПА (Ф),Россия,1,490.0,0.0,0.0,490.0,C,C,B,CCB
Варшавская,"Saldens American IPA Six Hops ж/б. 0,450 .",Дабл ИПА + (Ф),Россия ,2,980.0,480.0,1.0417,500.0,B,B,B,BBB
Варшавская,"Selfmade Space Navigator, ж/б. 0,450 .",НЕИПА (Ф),Россия ,1,550.0,250.0,1.2,300.0,B,A,C,BAC
Варшавская,"StadsHaven Great White, 0,330 бут.",Бланш (Ф),Нидерланды,1,470.0,149.6,2.1417,320.4,C,A,B,CAB
Варшавская,"StadsHaven Moray IPA бут. 0,330 .",ИПА (Ф),Нидерланды,3,1227.68,454.5,1.7011666666666667,773.1800000000001,A,A,A,AAA
Варшавская,"АФ БРЮ Ингрия 0,330 бут.",ИПА (Ф),Россия,3,1320.0,591.0,1.2335,729.0,A,A,A,AAA
Варшавская,"АФ БРЮ Ит зе даст МОЗАИК, ж/б. 0,500 .",Дабл ИПА + (Ф),Россия,1,590.0,195.0,2.0256,395.0,B,A,B,BAB
Варшавская,"АФ БРЮ Расбери из май сенкчуари, ж/б. 0,500 .",Сауэр эли (Ф),Россия,2,980.0,622.0,0.5756,358.0,B,C,B,BCB
Варшавская,"Айингер Лагер Хелл, 0,500 бут.",Хели (Ф),Германия ,9,6390.0,2853.9,1.239,3536.1,A,A,A,AAA
Варшавская,"Айингер Столетнее , 0,500 бут.",Хели (Ф),Германия ,6,4260.0,1902.6,1.239,2357.4,A,A,A,AAA
Варшавская,"Айингер Фестмарцен , 0,500 бут.",Другие лагеры (Ф),Германия,8,6160.0,2442.24,1.5223,3717.76,A,A,A,AAA
Варшавская,"Бакунин Рэд Маньак, ж/б. 0,500 .",Другие охмеленные (Ф),Россия,1,590.0,235.0,1.5106,355.0,B,A,B,BAB
Варшавская,Бембел Голд 0.5 л ж/б.,Сидры и пуаре ур 2 (Ф),Германия,1,520.0,250.0,1.08,270.0,C,B,C,CBC
Варшавская,Бембел Кирш 0.5 л ж/б.,Сидры и пуаре ур 2 (Ф),Германия,1,520.0,250.0,1.08,270.0,C,B,C,CBC
Варшавская,"Брю Дивижн Ай Рай. Рай Ай Пи Эй, 0,500 жб.","Голден эли, АПА, Пэйл эли (Ф)",Россия,3,1560.0,741.0,1.1053,819.0,A,B,A,ABA
Варшавская,"Брю Дивижн Бэк ту Революшн ,  0,500 жб.",Дабл ИПА + (Ф),Россия,4,1783.64,800.0,1.22955,983.64,A,A,A,AAA
Варшавская,"Брюгге зот дюбель, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,1,620.0,277.0,1.2383,343.0,B,A,B,BAB
Варшавская,"Брюгге зот, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,5,2950.0,1345.0,1.1933,1605.0,A,A,A,AAA
Варшавская,"Бульви Артизиан Розе Брют, 0,750 бут.",Сидры и пуаре ур 2 (Ф),Россия,1,860.0,620.0,0.3871,240.0,B,C,C,BCC
Варшавская,"Бульви Вивизеро, сухой 0,45 л бут.",Сидры б/а (Ф),Россия,2,940.0,420.0,1.2381,520.0,B,A,B,BAB
Варшавская,"Бульви Пуаре, 0,750 бут.",Сидры б/а (Ф),Россия,2,1600.0,898.0,0.7817,702.0,A,C,A,ACA
Варшавская,"Бульви Рустик полусладкий, бут. 0,45л",Сидры б/а (Ф),Россия,1,450.0,199.0,1.2613,251.0,C,A,C,CAC
