Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Кременчугская,"Борнем трипль, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,3,1950.0,774.0,1.5194,1176.0,A,A,A,AAA
Кременчугская,"Брю Дивижн Вайсглюк Унзере Хефевайцен, 0,500 бут.",Вайсс (Ф),Россия,1,169.03,203.0,-0.1673,-33.97,C,C,C,CCC
Кременчугская,"Брюгге зот дюбель, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,1,620.0,277.0,1.2383,343.0,B,A,B,BAB
Кременчугская,"Брюгге зот, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,4,2360.0,1076.0,1.1933,1284.0,A,A,A,AAA
Кременчугская,"Бульви Pixie 0,5 бут.",Сидры б/а (Ф),Россия,3,1470.0,645.0,1.2791,825.0,A,A,A,AAA
Кременчугская,"Бульви Рустик полусладкий, бут. 0,45л",Сидры б/а (Ф),Россия,4,1638.7,796.0,0.85605,842.7,A,C,A,ACA
Кременчугская,"Бульви Сидр Розе, 0,750 бут.",Сидры и пуаре ур 2 (Ф),Россия,2,1147.16,860.0,0.3339,287.1600000000001,B,C,C,BCC
Кременчугская,"Вайнштефан Оригинал Хеллес б/а, светлое, 0,500 бут.",Пиво б/а (Ф),Германия,1,490.0,216.73,1.2609,273.27,C,A,C,CAC
Кременчугская,"Вайнштефан Оригинал, светлое, 0,500 бут.",Хели (Ф),Германия ,4,2304.42,1090.33,1.00235,1214.09,A,B,A,ABA
Кременчугская,"Вайнштефан Хефе Вайсбир, светлое, 0,500 бут.",Вайсс (Ф),Германия,10,5870.5,2616.4,1.23246,3254.1000000000004,A,A,A,AAA
Кременчугская,"Вайнштефан Хефевайсбир б/a,0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,3,1470.0,615.0600000000001,1.39,854.94,A,A,A,AAA
Кременчугская,"Вальдеранс сидр де Бретань Брют 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Франция,2,5000.0,1526.0,2.2765,3474.0,A,A,A,AAA
Кременчугская,"Василеостровский Пуаре, 0,750 бут.",Фруктовые ламбики (столовые) Ф,Россия,1,530.0,265.0,1.0,265.0,C,B,C,CBC
Кременчугская,"Верхаге Барбе Крик темное, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,3,2001.0,943.35,1.13945,1057.65,A,A,A,AAA
