Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Лиговский,"4Brewers Зависимость, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,6,2542.5,1205.4,1.0831,1337.1,A,A,A,AAA
Лиговский,"4Brewers Магия (Black currant, Cherry, Chocolate, Date syrup, ж/б. 0,500 .",Сауэр эли (Ф),Россия ,2,740.0,468.44,0.5797,271.56,B,C,C,BCC
Лиговский,"4Brewers Укропная Зависимость , ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,3,1170.0,702.66,0.7051000000000001,467.34,B,C,B,BCB
Лиговский,"4Brewers Юффий, ж/б. 0,450 .",Темные эли (Ф),Россия ,1,351.5,185.22,0.8977,166.28,C,A,C,CAC
Лиговский,"4Brewers не кричи на кимчи ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,1,315.0,223.44,0.4098,91.56,C,C,C,CCC
Лиговский,"Atmosphere brew Психоделический Трип, ж/б. 0,450 .",Темные эли (Ф),Россия ,2,780.0,416.0,0.875,364.0,B,B,B,BBB
Лиговский,Brewlok | Черный Пес | 500мл.,ИПА (Ф),Россия,4,1501.5,686.76,1.1864,814.74,A,A,A,AAA
Лиговский,"Brewlok Василиса, бут. 0,450 .",Имперское (Ф),Россия,2,819.0,388.0,1.1108,431.0,B,A,B,BAB
Лиговский,"Brewlok Русалка ж/б, 0,450",Сауэр эли (Ф),Россия,4,1680.0,725.56,1.3155,954.44,A,A,A,AAA
Лиговский,"DaDa сидр #3 (Полусладкий), бут. 0,500 .",Сидры и пуаре ур 2 (Ф),Россия,14,6517.0,3066.0,1.1256,3451.0,A,A,A,AAA
Лиговский,"Gletcher Nut Butter, ж/б. 0,500 .",Темные эли (Ф),Россия ,2,741.0,344.0,1.1541,397.0,B,A,B,BAB
Лиговский,"New Riga's White Moon , ж/б. 0,450 .",Темные эли (Ф),Россия ,4,1155.0,620.0,0.8629,535.0,B,B,B,BBB
Лиговский,"New Rigas Varka Cherry, ж/б, 0,500",Сауэр эли (Ф),Россия,5,1518.0,800.0,0.8219,718.0,A,B,A,ABA
Лиговский,"Old Speckled Hen, 0,5 ж/б","Карамельное, янтарное пиво 2 Ф",Англия,5,1755.0,828.0,1.090125,927.0,A,A,A,AAA
Лиговский,"PP Gose 0.5, бан",Другие охмеленные (Ф),Россия,2,900.0,413.22,1.178,486.78,B,A,B,BAB
Лиговский,"Paulaner Hefe Weissbier , 0,500 бут.",Вайсс (Ф),Германия,1,490.0,252.2,0.9429,237.8,C,A,C,CAC
Лиговский,"Sabotage Lost in Dogma,500мл.",Сауэр эли (Ф),Россия,1,490.0,0.0,0.0,490.0,C,C,B,CCB
Лиговский,"Saldens American IPA Six Hops ж/б. 0,450 .",Дабл ИПА + (Ф),Россия ,1,490.0,215.0,1.2791,275.0,C,A,C,CAC
Лиговский,"Selfmade Tomato Method,  ж/б, 0,500",Гозе и овощные гозе (Ф),Россия,3,1421.0,579.1500000000001,1.47475,841.8499999999999,A,A,A,AAA
Лиговский,"StadsHaven Great White, 0,330 бут.",Бланш (Ф),Нидерланды,2,798.0,347.53,1.2962,450.47,B,A,B,BAB
Лиговский,"StadsHaven Moray IPA б/а бут. 0,330 .",Пиво б/а (Ф),Нидерланды,3,870.0,426.0,1.0423,444.0,B,A,B,BAB
Лиговский,"StadsHaven Octopus Blond 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,5,2100.0,818.0,1.5672,1282.0,A,A,A,AAA
Лиговский,"StadsHaven RedHead Ale, 0,330 бут.","Карамельное, янтарное пиво 2 Ф",Нидерланды,2,798.0,356.0,1.2416,442.0,B,A,B,BAB
Лиговский,"StadsHaven Sailor's lager , 0,330 бут.",Другие лагеры (Ф),Нидерланды,6,2436.0,1068.0,1.2809333333333333,1368.0,A,A,A,AAA
Лиговский,"Айингер Лагер Хелл, 0,500 бут.",Хели (Ф),Германия ,15,10108.5,5006.85,1.0212444444444444,5101.65,A,A,A,AAA
Лиговский,"Айингер Столетнее , 0,500 бут.",Хели (Ф),Германия ,1,710.0,333.79,1.1271,376.21,B,A,B,BAB
Лиговский,"Айингер Фестмарцен , 0,500 бут.",Другие лагеры (Ф),Германия,2,1501.5,642.7,1.3361999999999998,858.8,A,A,A,AAA
