Бар,Пиво,Литры 2025,Литры 2026,Д Литры,Выручка 2025,Выручка 2026,Д Выручка,Наценка 2025,Наценка 2026,Маржа 2025,Маржа 2026,Д Маржа
Лиговский,нектар лагер,0.0,20.0,NEW,0,18724,NEW,-,211%,0,12724,NEW
Лиговский,нишко лагер,0.0,53.0,NEW,0,49428,NEW,-,212%,0,33514,NEW
Лиговский,палм,0.0,33.3,NEW,0,43900,NEW,-,35%,0,10686,NEW
Лиговский,план б ковбой мальборо,0.0,37.5,NEW,0,34764,NEW,-,278%,0,25143,NEW
Лиговский,фестхаус вайцен,0.0,79.8,NEW,0,63504,NEW,-,314%,0,47859,NEW
Лиговский,фестхаус доппельбок,0.0,15.3,NEW,0,17336,NEW,-,232%,0,11981,NEW
Лиговский,фестхаус октобер,0.0,0.5,NEW,0,413,NEW,-,120%,0,226,NEW
Лиговский,фестхаус хеллес,0.0,287.7,NEW,0,230805,NEW,-,316%,0,174441,NEW
Лиговский,*** ВСЕГО ***,0.0,894.6,NEW,0,810105,NEW,-,208%,0,546777,NEW
Кременчугская,brewlok ipa,9.1,23.6,+158.9%,13006,22825,+75.5%,282%,295%,9550,17033,+78.3%
Кременчугская,brewlok stout,40.8,10.8,-73.6%,43696,9300,-78.7%,266%,282%,31327,6852,-78.1%
Кременчугская,dada сидр #2 полусухой,0.0,2.4,NEW,0,2670,NEW,-,207%,0,1794,NEW
Кременчугская,femme fatale rouge,0.0,4.7,NEW,0,5600,NEW,-,322%,0,4220,NEW
Кременчугская,konix cassis ruby,15.2,0.0,-100.0%,26353,0,-100.0%,205%,-,17641,0,-100.0%
Кременчугская,konix dortmunder,0.0,4.9,NEW,0,4005,NEW,-,442%,0,3270,NEW
Кременчугская,o`hara`s irish red nitro,7.3,0.0,-100.0%,19634,0,-100.0%,216%,-,13281,0,-100.0%
Кременчугская,o`hara`s pale ale,9.8,0.0,-100.0%,18487,0,-100.0%,192%,-,12292,0,-100.0%
Кременчугская,red button matilde,0.0,5.6,NEW,0,12081,NEW,-,142%,0,7023,NEW
Кременчугская,velka morava frothy froh,0.0,19.4,NEW,0,18579,NEW,-,285%,0,13717,NEW
Кременчугская,weissmuller,37.0,0.0,-100.0%,52768,0,-100.0%,202%,-,34949,0,-100.0%
Кременчугская,астролагер премиум пилс,14.6,0.0,-100.0%,21765,0,-100.0%,231%,-,15208,0,-100.0%
Кременчугская,бланш де намур,0.0,45.0,NEW,0,58654,NEW,-,183%,0,37303,NEW
Кременчугская,бланш де неж,3.5,0.0,-100.0%,7600,0,-100.0%,223%,-,5281,0,-100.0%
Кременчугская,бульви квинси,1.0,0.0,-100.0%,925,0,-100.0%,227%,-,642,0,-100.0%
Кременчугская,бульви семи драй,0.0,15.9,NEW,0,15841,NEW,-,248%,0,11127,NEW
Кременчугская,васька бланш де лютин,30.7,0.0,-100.0%,39114,0,-100.0%,228%,-,27288,0,-100.0%
