Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Большой пр. В.О,"Old Speckled Hen, 0,5 ж/б","Карамельное, янтарное пиво 2 Ф",Англия,2,1100.0,446.2,1.4653,653.8,A,A,A,AAA
Большой пр. В.О,"PP Paraglider, ж/б. 0,500 .","Голден эли, АПА, Пэйл эли (Ф)",Россия ,2,1240.0,523.8,1.3673,716.2,A,A,A,AAA
Большой пр. В.О,"Plague brew Невская пивоварня London, 0.45 ж/б",Темные эли (Ф),Россия,1,440.0,200.0,1.2,240.0,C,A,C,CAC
Большой пр. В.О,"Plague brew Чечик,  ж/б. 0,500 .",Сауэр эли (Ф),Россия ,5,2268.44,1250.0,0.929725,1018.44,A,C,A,ACA
Большой пр. В.О,"Plan B Ghostwind, ж/б. 0,450 .",ИПА (Ф),Россия ,1,360.0,194.75,0.8485,165.25,C,C,C,CCC
Большой пр. В.О,"Polnochnyj Project  black damage, ж/б 0,5",Другие охмеленные (Ф),Россия,1,680.0,308.46,1.2045,371.54,B,A,C,BAC
Большой пр. В.О,"Polnochnyj Project your quintuple sour kitchen juice, ж/б 0,5",Сауэр эли (Ф),Россия,1,630.0,285.18,1.2091,344.82,B,A,C,BAC
Большой пр. В.О,"Sabotage TOTEM, 0,45 ж/б",ИПА (Ф),Россия,1,440.0,201.96,1.1786,238.04,C,A,C,CAC
Большой пр. В.О,"Saldens Double IPA ж/б. 0,450 .",Дабл ИПА + (Ф),Россия ,1,520.0,225.0,1.3111,295.0,C,A,C,CAC
Большой пр. В.О,"Selfmade 2X ж/б, 0,500",Дабл ИПА + (Ф),Россия,1,570.0,250.47,1.2757,319.53,B,A,C,BAC
Большой пр. В.О,"Selfmade Warlock Ritual ж/б, 0,500",Сауэр эли (Ф),Россия,1,540.0,227.7,1.3715,312.3,B,A,C,BAC
Большой пр. В.О,"StadsHaven Great White, 0,330 бут.",Бланш (Ф),Нидерланды,1,420.0,143.52,1.9264,276.48,C,A,C,CAC
Большой пр. В.О,"StadsHaven Moray IPA бут. 0,330 .",ИПА (Ф),Нидерланды,4,1680.0,608.64,1.7603,1071.36,A,A,A,AAA
Большой пр. В.О,"StadsHaven Octopus Blond 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,13,3260.12,1961.05,0.99455,1299.07,A,B,A,ABA
Большой пр. В.О,"Sullivan's Maltings 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Ирландия,1,540.0,250.0,1.16,290.0,B,A,C,BAC
Большой пр. В.О,TRYWILD | 11 Aronia | 750мл.,Сидры и пуаре ур 2 (Ф),Россия,2,2780.0,1266.0,1.1959,1514.0,A,A,A,AAA
Большой пр. В.О,TRYWILD | La Dich | 750мл.,Сидры и пуаре ур 2 (Ф),Россия,1,1300.0,580.0,1.2414,720.0,A,A,A,AAA
Большой пр. В.О,"Zagovor Цитра Цитра Цитра, ж/б. 0,450 .",ИПА (Ф),Россия,1,454.47,276.0,0.6466,178.47000000000003,C,C,C,CCC
Большой пр. В.О,"Айингер Лагер Хелл, 0,500 бут.",Хели (Ф),Германия ,13,9750.0,4122.3,1.3652,5627.7,A,A,A,AAA
Большой пр. В.О,"Айингер Столетнее , 0,500 бут.",Хели (Ф),Германия ,1,750.0,317.1,1.3652,432.9,B,A,B,BAB
Большой пр. В.О,"Айингер Урвайсс, 0,500 бут.",Вайсс (Ф),Германия,2,1464.5700000000002,634.2,1.30935,830.37,A,A,A,AAA
Большой пр. В.О,"Араета 2021 грушевый 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Испания,1,1050.0,484.0,1.1694,566.0,A,A,B,AAB
Большой пр. В.О,"Араета 2021 яблочный 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Испания,1,850.0,406.0,1.0936,444.0,B,B,B,BBB
Большой пр. В.О,"Брю Дивижн Бэк ту Революшн ,  0,500 жб.",Дабл ИПА + (Ф),Россия,2,1040.0,400.0,1.6,640.0,A,A,B,AAB
Большой пр. В.О,"Бульви Шорли Вишня б/а 0,450",Сидры б/а (Ф),Россия,6,2100.0,750.0,1.8,1350.0,A,A,A,AAA
Большой пр. В.О,"Бульви сидр Тоффи 0,5 бут.",Сидры и пуаре ур 2 (Ф),Россия,2,960.0,420.0,1.2857,540.0,A,A,B,AAB
Большой пр. В.О,"Бургунь де Фландер, 0,330 бут.",Флемиш (Ф),Бельгия,1,676.97,344.35,0.9659,332.62,B,B,C,BBC
Большой пр. В.О,"Вайнштефан Оригинал Хеллес б/а, светлое, 0,500 бут.",Пиво б/а (Ф),Германия,4,1621.5,866.92,1.0006,754.5799999999999,A,B,A,ABA
Большой пр. В.О,"Вайнштефан Оригинал, светлое, 0,500 бут.",Хели (Ф),Германия ,6,1180.8,1569.72,0.128,-388.9200000000001,A,C,C,ACC
Большой пр. В.О,"Вайнштефан Хефе Вайсбир, светлое, 0,500 бут.",Вайсс (Ф),Германия,3,1770.0,784.92,1.255,985.08,A,A,A,AAA
Большой пр. В.О,"Вайнштефан Хефевайсбир б/a,0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,3,1470.0,615.0600000000001,1.39,854.94,A,A,A,AAA
Большой пр. В.О,"Вандер Гинсте, 0,250 бут.",Флемиш (Ф),Бельгия,3,1682.2,576.0,1.9204666666666668,1106.2,A,A,A,AAA
Большой пр. В.О,"Велка Морава Take Five, ж/б. 0,500 .","Голден эли, АПА, Пэйл эли (Ф)",Россия,3,1234.9,552.0,1.2371333333333334,682.9,A,A,A,AAA
Большой пр. В.О,"Верхаге Барбе Крик темное, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,1,690.0,314.45,1.1943,375.55,B,A,C,BAC
Большой пр. В.О,"Вестмалле Траппист Дубль, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,2,1180.0,462.0,1.5541,718.0,A,A,A,AAA
Большой пр. В.О,"Делириум Рэд, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,1,850.0,269.0,2.1599,581.0,B,A,B,BAB
Большой пр. В.О,"Делириум Тременс, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,4,2880.0,1124.0,1.5622999999999998,1756.0,A,A,A,AAA
Большой пр. В.О,"Джоус Атомная Прачечная, светлое, 0,500 бут.",Пиво б/а (Ф),Россия,8,4482.49,2111.86,1.14432,2370.63,A,B,A,ABA
Большой пр. В.О,"Джоус Овсяный Стаут, темное, 0,500 бут.",Темные эли (Ф),Россия,2,877.15,400.0,1.1928999999999998,477.15,B,A,B,BAB
