Бар;Пиво;Литры 2025;Литры 2026;Д Литры;Выручка 2025;Выручка 2026;Д Выручка;Р/литр 25;Р/литр 26;Наценка 2025;Наценка 2026;Маржа 2025;Маржа 2026;Д Маржа;Маржа/литр 25;Маржа/литр 26
Большой пр. В.О;бургунь де фландер;0.0;22.4;NEW;0;40721;NEW;-;1818;-;185%;0;26394;NEW;-;1178
Большой пр. В.О;бюльви рустик полусухой;0.0;0.2;NEW;0;260;NEW;-;1040;-;250%;0;186;NEW;-;743
Большой пр. В.О;вита сид том 2;16.3;0.0;-100.0%;26494;0;-100.0%;1622;-;377%;-;20898;0;-100.0%;1280;-
Большой пр. В.О;во brewlok ipa;14.9;0.0;-100.0%;23709;0;-100.0%;1594;-;287%;-;17412;0;-100.0%;1170;-
Большой пр. В.О;во brewlok баба яга;8.7;0.0;-100.0%;13693;0;-100.0%;1583;-;220%;-;9485;0;-100.0%;1096;-
Большой пр. В.О;во o`hara`s irish stout;10.6;0.0;-100.0%;25777;0;-100.0%;2432;-;197%;-;17031;0;-100.0%;1607;-
Большой пр. В.О;во rewort nutty nut;7.8;0.0;-100.0%;12378;0;-100.0%;1589;-;166%;-;7809;0;-100.0%;1003;-
Большой пр. В.О;во баптист вит;4.2;0.0;-100.0%;12009;0;-100.0%;2836;-;224%;-;8124;0;-100.0%;1918;-
Большой пр. В.О;во варка пшено;3.7;0.0;-100.0%;4320;0;-100.0%;1157;-;256%;-;3054;0;-100.0%;818;-
Большой пр. В.О;во гулден драк 708;6.8;0.0;-100.0%;22826;0;-100.0%;3342;-;241%;-;16143;0;-100.0%;2364;-
Большой пр. В.О;во джаст хёфевайцен;2.8;0.0;-100.0%;3420;0;-100.0%;1244;-;220%;-;2350;0;-100.0%;855;-
Большой пр. В.О;во коникс черри руби;12.8;0.0;-100.0%;33994;0;-100.0%;2657;-;219%;-;23226;0;-100.0%;1816;-
Большой пр. В.О;во литовер мораван;10.7;0.0;-100.0%;21364;0;-100.0%;1995;-;217%;-;14692;0;-100.0%;1372;-
Большой пр. В.О;во локал лагер (рыжее);14.9;0.0;-100.0%;14514;0;-100.0%;976;-;435%;-;11744;0;-100.0%;790;-
Большой пр. В.О;во палм;14.7;0.0;-100.0%;38833;0;-100.0%;2641;-;203%;-;26245;0;-100.0%;1785;-
Большой пр. В.О;во ригеле файнес урхелль;3.7;0.0;-100.0%;10737;0;-100.0%;2871;-;200%;-;6998;0;-100.0%;1871;-
Большой пр. В.О;гулден драк 708;0.0;48.5;NEW;0;88988;NEW;-;1835;-;157%;0;53350;NEW;-;1100
Большой пр. В.О;джаст хёфевайцен;0.2;0.0;-100.0%;673;0;-100.0%;3588;-;289%;-;500;0;-100.0%;2667;-
Большой пр. В.О;джоус бланш;15.6;0.0;-100.0%;34887;0;-100.0%;2238;-;223%;-;24084;0;-100.0%;1545;-
Большой пр. В.О;дикий крест сухой;0.0;18.2;NEW;0;20324;NEW;-;1117;-;204%;0;13614;NEW;-;748
Большой пр. В.О;коникс черри руби;0.0;37.5;NEW;0;37404;NEW;-;999;-;160%;0;22849;NEW;-;610
Большой пр. В.О;леруа иперман;14.8;0.0;-100.0%;40706;0;-100.0%;2744;-;264%;-;28484;0;-100.0%;1920;-
Большой пр. В.О;леруа хоммельбир драй хоппдт;13.0;0.0;-100.0%;34265;0;-100.0%;2640;-;213%;-;23216;0;-100.0%;1789;-
Большой пр. В.О;лефорт трипель;7.7;71.1;+819.5%;31180;128255;+311.3%;4032;1804;195%;181%;20996;81329;+287.3%;2715;1144
Большой пр. В.О;нишко лагер;0.0;50.4;NEW;0;51347;NEW;-;1020;-;239%;0;36242;NEW;-;720
Большой пр. В.О;план б ковбой мальборо;0.0;32.1;NEW;0;30969;NEW;-;963;-;257%;0;22456;NEW;-;698
Большой пр. В.О;ригеле файнес урхелль;0.0;9.8;NEW;0;15260;NEW;-;1557;-;172%;0;9772;NEW;-;997
Большой пр. В.О;степь и ветер традиционный;1.8;0.0;-100.0%;4262;0;-100.0%;2352;-;248%;-;3033;0;-100.0%;1673;-
Большой пр. В.О;фестхаус вайцен;0.0;49.3;NEW;0;46694;NEW;-;947;-;395%;0;37180;NEW;-;754
Большой пр. В.О;фестхаус доппельбок;0.0;24.0;NEW;0;27298;NEW;-;1137;-;244%;0;18898;NEW;-;787
Большой пр. В.О;фестхаус хеллес;0.0;119.2;NEW;0;112046;NEW;-;940;-;391%;0;88895;NEW;-;746
Большой пр. В.О;*** ВСЕГО ***;193.4;737.8;+281.5%;428974;865442;+101.7%;2218;1173;228%;219%;298204;594077;+99.2%;1542;805
Лиговский;brewlok ipa;0.0;7.3;NEW;0;7074;NEW;-;969;-;254%;0;5106;NEW;-;700
Лиговский;raspberry porter by paradox;0.0;13.8;NEW;0;15738;NEW;-;1140;-;237%;0;10977;NEW;-;795
Лиговский;velka morava пятипитие;0.0;76.2;NEW;0;71278;NEW;-;935;-;266%;0;51589;NEW;-;677
Лиговский;барбе руби;0.0;39.0;NEW;0;71315;NEW;-;1826;-;146%;0;42326;NEW;-;1084
Лиговский;блек шип;0.0;168.2;NEW;0;134517;NEW;-;800;-;170%;0;84042;NEW;-;500
Лиговский;бюльви рустик полусухой;0.0;22.3;NEW;0;21010;NEW;-;942;-;223%;0;14376;NEW;-;645
Лиговский;коникс бланш ма шери;0.0;40.6;NEW;0;30299;NEW;-;746;-;257%;0;21786;NEW;-;537
Лиговский;нектар лагер;0.0;20.0;NEW;0;18724;NEW;-;936;-;211%;0;12724;NEW;-;636
Лиговский;нишко лагер;0.0;53.0;NEW;0;49428;NEW;-;932;-;212%;0;33514;NEW;-;632
Лиговский;палм;0.0;33.3;NEW;0;43900;NEW;-;1318;-;35%;0;10686;NEW;-;321
Лиговский;план б ковбой мальборо;0.0;37.5;NEW;0;34764;NEW;-;928;-;278%;0;25143;NEW;-;671
Лиговский;фестхаус вайцен;0.0;79.8;NEW;0;63504;NEW;-;796;-;314%;0;47859;NEW;-;600
Лиговский;фестхаус доппельбок;0.0;15.3;NEW;0;17336;NEW;-;1133;-;232%;0;11981;NEW;-;783
Лиговский;фестхаус октобер;0.0;0.5;NEW;0;413;NEW;-;826;-;120%;0;226;NEW;-;451
Лиговский;фестхаус хеллес;0.0;287.7;NEW;0;230805;NEW;-;802;-;316%;0;174441;NEW;-;606
Лиговский;*** ВСЕГО ***;0.0;894.6;NEW;0;810105;NEW;-;905;-;208%;0;546777;NEW;-;611
Кременчугская;brewlok ipa;9.1;23.6;+158.9%;13006;22825;+75.5%;1430;969;282%;295%;9550;17033;+78.3%;1050;723
Кременчугская;brewlok stout;40.8;10.8;-73.6%;43696;9300;-78.7%;1070;861;266%;282%;31327;6852;-78.1%;767;634
Кременчугская;dada сидр #2 полусухой;0.0;2.4;NEW;0;2670;NEW;-;1112;-;207%;0;1794;NEW;-;748
Кременчугская;femme fatale rouge;0.0;4.7;NEW;0;5600;NEW;-;1204;-;322%;0;4220;NEW;-;908
Кременчугская;konix cassis ruby;15.2;0.0;-100.0%;26353;0;-100.0%;1738;-;205%;-;17641;0;-100.0%;1164;-
Кременчугская;konix dortmunder;0.0;4.9;NEW;0;4005;NEW;-;817;-;442%;0;3270;NEW;-;667
Кременчугская;o`hara`s irish red nitro;7.3;0.0;-100.0%;19634;0;-100.0%;2682;-;216%;-;13281;0;-100.0%;1814;-
Кременчугская;o`hara`s pale ale;9.8;0.0;-100.0%;18487;0;-100.0%;1881;-;192%;-;12292;0;-100.0%;1251;-
Кременчугская;red button matilde;0.0;5.6;NEW;0;12081;NEW;-;2153;-;142%;0;7023;NEW;-;1252
